stature,weightkg,chestbreadth
1623,558,234
1672,588,260
1619,591,256
1558,511,251
1649,591,263
1730,671,255
1527,522,265
1670,565,252
1583,774,289
1643,730,287
1717,669,285
1623,718,305
1630,594,281
1710,680,283
1730,779,285
1725,695,270
1680,755,277
1682,645,260
1680,843,313
1829,688,266
1675,643,280
1727,689,309
1615,651,295
1497,460,261
1613,610,243
1771,925,307
1588,666,263
1736,821,295
1664,591,247
1584,722,270
1712,770,265
1658,617,260
1646,685,246
1723,689,280
1578,587,249
1671,742,281
1580,820,266
1584,557,267
1670,648,275
1585,566,258
1638,584,264
1589,599,247
1659,785,295
1550,654,263
1730,838,273
1500,644,264
1615,809,273
1645,677,256
1727,847,296
1667,781,273
1519,552,284
1700,832,290
1628,694,253
1600,786,286
1747,851,285
1583,678,268
1662,645,263
1697,618,241
1732,843,270
1647,793,285
1589,727,261
1545,645,266
1659,755,268
1522,555,269
1651,779,268
1767,763,269
1608,785,251
1605,717,275
1734,674,262
1661,730,244
1589,754,260
1741,776,273
1670,810,296
1680,667,259
1736,791,288
1682,763,272
1714,650,287
1546,513,229
1634,591,253
1568,658,262
1536,504,241
1584,685,272
1646,629,251
1664,568,254
1658,661,272
1738,683,265
1745,791,273
1595,907,283
1625,783,285
1623,709,274
1518,509,274
1525,623,290
1557,664,257
1730,921,307
1601,671,289
1597,547,254
1743,784,304
1683,590,271
1752,763,297
1618,709,263
1620,703,272
1649,581,256
1709,593,275
1587,753,289
1632,662,268
1527,683,269
1660,758,284
1632,613,257
1742,730,287
1709,700,266
1619,751,303
1675,738,278
1634,642,265
1679,595,274
1614,569,256
1684,596,249
1597,631,264
1610,589,241
1688,746,282
1725,864,286
1609,608,263
1585,504,234
1562,549,254
1547,530,257
1611,692,264
1740,713,289
1555,705,262
1650,699,272
1583,659,268
1647,632,246
1532,696,243
1619,593,256
1704,695,259
1689,797,261
1657,619,270
1647,677,258
1670,544,256
1496,646,261
1717,882,306
1531,634,270
1666,765,278
1574,654,275
1663,837,265
1617,652,274
1585,624,262
1647,994,338
1643,748,283
1677,649,260
1670,542,262
1651,814,264
1525,563,253
1715,967,295
1602,837,307
1570,502,255
1662,657,261
1561,707,272
1543,669,262
1562,597,269
1627,720,281
1678,750,282
1608,673,287
1672,784,269
1661,516,251
1574,630,292
1670,793,273
1585,564,270
1574,687,294
1617,590,254
1592,603,251
1705,699,278
1620,573,252
1579,654,260
1661,603,250
1595,771,293
1646,767,286
1522,667,282
1760,783,275
1505,518,255
1708,663,248
1659,655,287
1613,690,280
1666,680,267
1565,609,262
1578,646,262
1480,540,240
1636,530,252
1608,789,295
1552,431,244
1559,746,276
1595,712,277
1674,727,300
1661,613,260
1550,574,244
1597,655,258
1543,577,253
1636,585,241
1563,627,263
1506,535,264
1689,652,274
1600,702,303
1827,931,305
1594,532,237
1768,735,304
1658,557,258
1629,655,271
1672,691,296
1783,965,278
1571,702,285
1525,523,249
1595,660,253
1708,814,277
1818,952,291
1688,658,258
1568,503,227
1555,547,241
1645,688,281
1631,604,238
1563,669,266
1566,599,280
1585,616,244
1518,548,246
1590,604,250
1462,519,251
1599,640,268
1665,669,258
1712,791,283
1634,598,266
1628,736,273
1625,825,285
1718,756,286
1604,595,234
1748,863,283
1650,686,256
1679,763,262
1635,725,286
1673,639,256
1643,559,248
1691,764,270
1672,699,269
1638,630,268
1676,606,240
1655,680,262
1675,654,262
1508,538,249
1679,731,284
1692,766,295
1631,577,254
1533,598,258
1563,686,278
1655,708,273
1496,488,237
1777,766,262
1546,583,243
1685,685,269
1608,585,245
1632,719,266
1690,649,273
1655,583,254
1574,648,255
1659,564,271
1541,478,242
1675,591,240
1652,665,272
1593,649,275
1565,512,245
1530,496,233
1600,744,262
1615,680,263
1557,506,248
1679,591,258
1662,712,273
1696,844,285
1657,547,264
1495,487,247
1644,612,259
1652,722,265
1566,567,256
1653,688,268
1604,542,244
1594,611,255
1627,672,293
1729,749,255
1602,585,249
1615,605,260
1645,601,265
1623,621,241
1595,609,250
1480,470,244
1696,786,289
1680,725,264
1590,516,228
1529,501,248
1551,626,252
1709,787,266
1589,572,242
1616,670,245
1643,535,257
1587,638,240
1691,752,237
1558,519,236
1611,602,248
1724,701,268
1623,782,278
1686,611,259
1587,631,278
1546,540,252
1682,619,241
1519,577,263
1631,673,253
1525,608,258
1657,905,290
1653,682,262
1447,683,273
1615,778,289
1732,648,255
1733,1082,303
1760,875,275
1669,788,296
1602,844,275
1611,667,267
1607,749,283
1582,827,268
1636,695,260
1702,697,268
1591,528,251
1724,785,295
1657,669,260
1591,556,258
1630,840,267
1730,831,273
1695,735,267
1598,763,268
1606,637,269
1644,700,256
1575,626,263
1642,607,248
1615,705,276
1570,689,238
1607,633,260
1626,564,241
1729,729,273
1501,618,249
1657,618,258
1614,546,238
1660,686,267
1675,641,251
1638,635,248
1584,634,250
1680,684,255
1667,680,270
1758,751,275
1688,851,268
1636,582,269
1607,709,262
1594,664,268
1694,757,275
1606,632,258
1687,674,248
1574,602,249
1603,616,252
1559,584,245
1659,717,277
1614,606,256
1630,648,257
1435,478,242
1672,751,263
1708,739,275
1676,686,287
1609,620,240
1590,740,276
1629,598,268
1598,645,246
1560,563,237
1688,686,262
1745,696,265
1673,631,245
1662,729,270
1576,548,244
1720,650,261
1701,700,265
1620,580,247
1670,738,288
1630,478,221
1636,583,254
1714,849,272
1702,732,272
1590,609,245
1643,654,276
1769,832,291
1549,591,272
1533,695,266
1592,609,238
1609,650,253
1569,550,242
1586,659,278
1574,701,254
1617,689,276
1589,607,263
1679,736,270
1700,564,248
1623,566,265
1677,681,254
1598,660,254
1625,536,240
1685,647,245
1685,776,274
1623,563,254
1674,675,258
1653,604,251
1587,542,262
1595,664,269
1563,744,280
1674,621,283
1439,585,268
1718,810,288
1589,511,252
1645,717,324
1677,607,259
1552,591,254
1523,636,275
1612,715,277
1642,574,257
1732,716,269
1600,540,245
1409,426,234
1620,585,257
1746,828,283
1688,740,263
1606,765,278
1658,852,282
1590,671,249
1781,760,283
1690,695,266
1654,754,285
1583,663,277
1523,480,248
1685,830,292
1672,756,279
1641,784,280
1644,594,263
1597,766,283
1732,678,259
1529,517,244
1620,662,267
1643,665,273
1556,613,250
1630,729,275
1614,701,261
1464,426,236
1749,729,268
1618,761,270
1631,719,244
1704,794,260
1669,705,280
1586,727,275
1602,609,249
1620,800,265
1575,625,258
1513,768,250
1573,578,240
1649,639,247
1657,749,287
1538,650,268
1684,633,240
1550,526,238
1630,766,282
1693,934,302
1557,667,283
1627,622,261
1666,942,312
1599,641,254
1547,692,262
1636,646,270
1547,525,253
1629,490,213
1560,749,268
1751,852,278
1625,772,258
1573,643,257
1599,722,267
1547,693,285
1735,737,271
1670,725,275
1678,816,279
1604,570,250
1631,660,264
1684,804,273
1715,852,290
1635,662,283
1666,706,257
1705,577,260
1629,526,243
1718,808,250
1626,834,288
1616,750,277
1602,619,270
1667,675,267
1645,702,278
1670,659,263
1621,712,249
1721,1028,298
1606,759,295
1567,659,282
1720,644,260
1639,689,254
1730,863,267
1682,949,294
1720,630,257
1783,1069,338
1641,639,267
1568,683,257
1640,630,259
1556,718,275
1647,874,260
1630,752,269
1587,852,290
1627,827,293
1638,559,283
1644,821,303
1603,663,270
1713,638,267
1721,799,268
1573,589,238
1619,761,267
1524,672,258
1605,541,282
1617,697,290
1601,616,248
1703,852,270
1574,582,258
1596,742,272
1602,609,259
1599,690,280
1632,675,257
1660,886,310
1568,652,259
1639,826,278
1591,556,256
1628,719,249
1615,822,269
1680,965,288
1590,624,243
1563,435,226
1641,753,293
1710,553,259
1566,578,250
1573,713,273
1669,776,293
1607,655,278
1633,578,273
1699,843,287
1638,670,263
1634,764,263
1660,663,253
1604,671,249
1693,706,298
1595,636,258
1694,646,255
1626,658,286
1613,789,293
1614,585,246
1630,589,258
1716,785,288
1510,676,276
1639,862,279
1576,605,270
1677,950,270
1669,649,288
1592,616,243
1606,715,286
1597,765,269
1610,652,262
1811,773,258
1639,734,285
1635,549,270
1751,802,287
1626,695,270
1688,647,273
1588,657,261
1635,871,289
1624,580,242
1634,796,266
1749,761,269
1646,576,248
1600,870,280
1600,766,260
1517,548,243
1659,826,258
1718,651,278
1533,570,247
1592,719,285
1636,726,259
1648,716,259
1669,832,289
1655,604,278
1770,764,278
1752,934,280
1741,573,258
1608,582,259
1636,553,258
1555,698,272
1573,640,258
1623,590,264
1534,604,248
1543,666,268
1744,670,263
1623,633,254
1587,618,269
1563,645,250
1655,582,259
1612,796,268
1636,609,239
1709,823,296
1547,567,239
1657,510,249
1695,601,262
1720,716,255
1587,681,250
1676,940,303
1726,686,258
1616,671,289
1747,689,271
1705,786,278
1685,704,255
1594,504,228
1687,598,275
1700,760,276
1658,780,295
1562,712,268
1658,665,283
1688,735,280
1524,544,268
1611,678,280
1627,648,241
1614,663,270
1598,779,287
1643,702,274
1611,592,254
1520,563,241
1697,927,279
1640,801,268
1672,772,290
1662,704,268
1601,590,265
1580,640,233
1676,842,280
1536,546,238
1561,715,265
1475,575,252
1532,522,235
1646,725,263
1657,517,263
1648,631,278
1586,537,246
1609,597,276
1562,607,261
1507,577,261
1468,499,248
1636,687,274
1585,680,299
1607,632,253
1657,776,278
1606,638,268
1705,783,283
1605,602,253
1666,771,276
1635,617,261
1498,462,253
1619,591,244
1559,574,261
1639,621,249
1574,618,263
1530,518,254
1552,631,256
1572,653,283
1670,646,271
1574,569,241
1636,661,264
1575,598,268
1676,533,252
1705,755,298
1603,702,283
1593,655,263
1611,644,262
1673,680,293
1689,715,273
1529,499,267
1602,523,255
1764,740,277
1648,750,276
1587,604,260
1492,430,240
1567,750,306
1563,716,281
1663,723,269
1617,765,306
1683,660,265
1636,600,268
1628,695,276
1536,637,280
1530,602,258
1678,815,282
1682,773,259
1585,537,248
1588,672,280
1718,698,265
1655,809,275
1705,722,274
1608,630,261
1607,654,260
1490,484,247
1563,653,271
1677,669,260
1615,668,268
1570,672,272
1563,597,263
1627,658,260
1743,657,265
1635,681,268
1699,894,305
1503,643,251
1637,857,303
1544,560,265
1493,613,266
1645,662,285
1707,719,273
1611,586,245
1543,576,255
1604,560,259
1588,616,241
1543,533,221
1630,678,268
1674,776,294
1560,658,266
1620,666,272
1613,549,248
1541,539,268
1595,814,278
1600,611,268
1690,777,285
1612,725,260
1559,664,275
1678,806,308
1608,522,243
1559,478,240
1683,845,309
1586,685,303
1646,646,263
1656,679,257
1515,509,250
1754,745,287
1699,670,276
1573,573,263
1657,597,252
1655,665,288
1502,505,245
1653,749,264
1633,756,281
1585,634,268
1632,768,297
1616,804,293
1670,762,287
1632,526,258
1648,653,278
1576,726,287
1606,557,256
1652,599,264
1625,759,300
1598,607,258
1618,669,281
1674,697,279
1563,614,286
1728,742,281
1590,671,279
1636,577,285
1655,803,285
1707,634,281
1676,681,272
1633,734,288
1607,672,300
1618,662,243
1708,703,268
1735,709,281
1715,586,248
1570,493,254
1642,733,274
1788,996,307
1600,648,254
1675,729,265
1634,902,278
1576,754,289
1599,654,264
1598,708,285
1548,647,276
1607,631,270
1686,666,245
1640,667,273
1563,497,263
1591,558,251
1678,921,293
1670,695,286
1529,563,275
1616,603,251
1620,647,269
1510,642,262
1626,701,292
1600,583,247
1679,843,305
1600,696,288
1618,735,299
1629,470,254
1651,608,259
1596,515,234
1654,717,287
1776,889,311
1546,532,243
1676,747,299
1585,622,267
1594,574,265
1629,565,271
1581,646,276
1614,529,247
1559,648,292
1697,751,278
1674,740,302
1692,758,296
1615,554,261
1762,852,307
1573,814,279
1674,824,295
1531,503,245
1505,607,271
1700,692,273
1539,640,283
1620,650,269
1712,580,260
1554,601,259
1598,601,243
1612,664,290
1707,703,264
1611,616,272
1599,654,293
1569,589,257
1663,524,257
1666,706,281
1659,676,245
1543,623,277
1571,628,275
1618,503,241
1610,599,257
1512,508,245
1555,520,234
1729,831,298
1593,622,273
1609,706,302
1648,667,286
1631,730,283
1712,842,305
1541,549,235
1663,609,273
1614,670,298
1598,711,288
1617,655,280
1658,771,278
1642,668,262
1698,707,265
1648,757,299
1756,857,295
1651,678,270
1634,630,273
1709,745,277
1686,564,255
1645,721,301
1565,646,279
1537,444,260
1511,591,246
1649,696,275
1458,445,241
1759,726,280
1558,707,269
1688,643,277
1581,654,254
1583,626,263
1643,736,282
1752,853,321
1600,750,277
1618,797,281
1710,837,312
1585,590,258
1595,512,246
1614,621,265
1663,810,298
1617,614,272
1596,544,258
1602,603,256
1694,792,277
1510,618,284
1534,603,270
1634,885,304
1679,842,316
1618,798,278
1658,634,268
1643,561,265
1652,774,277
1615,730,272
1674,850,278
1527,643,284
1518,505,254
1653,729,255
1659,835,285
1570,463,231
1570,802,318
1653,951,348
1712,582,252
1519,703,278
1702,1019,298
1627,645,271
1516,721,278
1583,661,290
1647,589,265
1594,528,248
1617,623,262
1674,896,309
1605,833,289
1649,916,288
1603,677,272
1620,535,255
1584,712,273
1579,527,240
1608,721,277
1656,589,267
1639,731,260
